rera_certificate_no,project_name,builder_name,locality,district,bhk_config,carpet_area_sqft,price_inr,construction_stage,possession_date,rera_registration_date
P51700000002,UNNATHI WOODS PHASE VII A,UNNATHI ESTATES,Bhayandar West,Thane,,,,under_construction,2025-12-30,
P51700001636,SAMRIDDHI,A G SUPERSTRUCTURES PVT LTD,Mira Road East,Thane,,,,under_construction,2021-12-30,
P51700000053,GOLDSTAR DECENT HOMES,GOLDSTAR SANKALP CONSTRUCTION,Mira Road East,Thane,,,,under_construction,2019-12-31,
P51700002491,INDRAPRASTH WING C,SONAM BUILDERS,Mira Road East,Thane,,,,under_construction,2020-09-30,
P51700000009,N G Silver Spring,RNA Builders (NG),Mira Road East,Thane,,,,under_construction,2018-12-15,
P51800007505,PINE WOOD,RDC VENTURES,Bhayandar West,Thane,,,,under_construction,2018-06-30,
P51700008448,PRATHAM HEIGHTS,PRATHAM INFRASTRUCTURE,Mira Road East,Thane,,,,under_construction,2017-12-31,
P51700000586,SALASAR GREENS,SALASAR ESTATE DEVELOPERS LLP,Mira Road East,Thane,,,,under_construction,2026-12-31,
P51700000766,RAUNAK HEIGHTS,UNNATHI ASSOCIATES,Bhayandar West,Thane,,,,under_construction,2025-12-30,
P51900010004,KIPL Morya,khade Infrastructre Pvt. Ltd.,Bhayandar West,Thane,,,,under_construction,2022-06-30,
P51700006770,UNIQUE AURUM-II,UNIQUE SHANTI DEVELOPERS LLP,Mira Road East,Thane,,,,under_construction,2018-09-30,
P51700002572,SHANTI SEVEN,SHANTISTAR BUILDERS,Mira Road East,Thane,,,,under_construction,2019-12-31,
P51700000177,SALASAR WOODS,SALASAR ESTATE DEVELOPERS LLP,Mira Road East,Thane,,,,under_construction,2023-12-24,
P51700001116,KASTURI HEIGHTS,ANNAPURNA REALTORS,Mira Road East,Thane,,,,under_construction,2023-12-30,
P51700001403,jyoti breeze,VENKATESH CONSTRUCTION,Mira Road East,Thane,,,,under_construction,2023-12-30,
P51700001968,OSTWAL ORCHID BUILDING NO. 9 TO 12,ASHA ENTERPRISES,Mira Road East,Thane,,,,under_construction,2023-12-30,
P51700000549,Platinum Tower,Haware's Housing Development Finance Corporation Ltd.,Bhayandar West,Thane,,,,under_construction,2023-06-30,
P51700000120,Godrej Emerald Thane,Godrej Greenview Housing Private Limited,Bhayandar West,Thane,,,,under_construction,2026-06-30,
P51700001515,DAHLIA BLDG A D AND E,HAWARE ENGINEERS AND BUILDERS PRIVATE LIMITED,Bhayandar West,Thane,,,,under_construction,2020-10-29,
P51700000520,Tokyo Bay Phase - 2A,Puranik Tokyo Bay Private Limited,Bhayandar West,Thane,,,,under_construction,2024-12-30,
P51700000618,Tokyo Bay Phase - 1,Puranik Tokyo Bay Private Limited,Bhayandar West,Thane,,,,under_construction,2023-10-30,
P51700000689,Rumahbali Phase 2,Puranik Builders Limited,Bhayandar West,Thane,,,,under_construction,2023-12-30,
P51700002456,SHREE SANKALP,SHREE CONSTRUCTIONS,Bhayandar West,Thane,,,,under_construction,2019-07-31,
P51700000912,Puranik City Reserva Phase 1,Puranik Builders Limited,Bhayandar West,Thane,,,,under_construction,2029-03-30,
P51700006750,Kakad Paradise Phase 2,Kakad Housing Corporation,Mira Road East,Thane,,,,under_construction,2024-06-30,
P51700000940,Aarambh - C,M/s. Annapurna Lifespaces LLP,Bhayandar West,Thane,,,,under_construction,2026-06-30,
P51700002158,Puranik Home Town - E,Puranik Builders Limited,Bhayandar West,Thane,,,,under_construction,2026-12-30,
P51700010292,Salasar Aarpan A Wing,Salangpur Gruh Nirman,Mira Road East,Thane,,,,under_construction,2020-06-30,
P51700001132,SAI CHARAN COMPLEX BUILDING NO 3,OM SAI CHARAN BUILDERS,Mira Road East,Thane,,,,under_construction,2022-12-30,
P51700000893,ANNAPURNA JEWELS,ANNAPURNA CREATORS,Mira Road East,Thane,,,,under_construction,2019-06-30,
P51700002009,RAIL VIEW,UMESH NARESH JAIN,Mira Road East,Thane,,,,under_construction,2019-12-31,
P51700003496,BORIVALI YASH PRABHA CHS LTD,UNIQUE SHANTI DEVELOPERS LLP,Mira Road East,Thane,,,,under_construction,2021-12-30,
P51700000320,N G CANARY,RNA Builders (NG),Mira Road East,Thane,,,,under_construction,2019-12-15,
P51700003278,SHANTI ONE,SHANTISTAR BUILDERS,Mira Road East,Thane,,,,under_construction,2024-12-30,
P51700000589,N G BAVENO,RNA Builders (NG),Mira Road East,Thane,,,,under_construction,2021-12-14,
P51700001153,CASA UNIVIS - CIELO D,MACROTECH DEVELOPERS LIMITED,Bhayandar West,Thane,,,,under_construction,2018-03-31,
P51700001458,VIHANGS VERMONT,VIHANG ENTERPRISES,Bhayandar West,Thane,,,,under_construction,2022-12-30,
P51700002317,Anthurium,AARTI ESTATES,Bhayandar West,Thane,,,,under_construction,2023-10-30,
P51700004541,Anjani Regency,Geeta Developers,Bhayandar East,Thane,,,,under_construction,2020-12-30,
P51700001702,RAJ ESTATE,D.V.BUILDERS & DEVELOPERS PVT. LTD.,Mira Road East,Thane,,,,under_construction,2018-06-30,
P51700001981,Platinum,Silver Enterprises,Mira Road East,Thane,,,,under_construction,2018-12-31,
P51700004612,WHITE HOUSE,Laabh Samruddhi Enterprises,Bhayandar West,Thane,,,,under_construction,2025-12-30,
P51700002994,ARCH GARDENS I AND II,SAI PREM DEVELOPERS PRIVATE LIMITED,Bhayandar East,Thane,,,,under_construction,2019-12-31,
P51700011846,SEA GREEN APARTMENT,AAKASH BUILDERS & DEVELOPERS,Mira Road East,Thane,,,,under_construction,2022-12-30,
P51700000957,ANNAPURNA JYOTI,ANNAPURNA ASSOCIATES,Bhayandar East,Thane,,,,under_construction,2021-12-30,
P51700005311,Rosa Oasis Phase 2,Uma Enterprises,Bhayandar West,Thane,,,,under_construction,2019-12-31,
P51700001595,SHREE SHASHWAT BUILDING NO 19,Shashwat Developers,Mira Road East,Thane,,,,under_construction,2021-12-30,
P51700008034,SHRADDHA HEIGHTS,SHRADDHA CONSTRUCTIONS,Mira Road East,Thane,,,,under_construction,2018-04-30,
P51700002129,LAXMI HEIGHTS,LAXMI ASSOCIATES,Mira Road East,Thane,,,,under_construction,2023-12-30,
P51700009395,Nida Amisha Heights,SAI KRUPA DEVELOPERS,Mira Road East,Thane,,,,under_construction,2026-07-01,
P51700007887,RASHMI SIGNATURE,HEMENDRA PRANJIVAN BOSMIYA,Mira Road East,Thane,,,,under_construction,2022-06-13,
P51700003222,UNIQUE SIGNATURE,UNIQUE SHANTI DEVELOPERS LLP,Mira Road East,Thane,,,,under_construction,2023-12-31,
P51800000876,Annapurna Avenue,ANNAPURNA BUILDCON INFRA PRIVATE LIMITED,Mira Road East,Thane,,,,under_construction,2024-06-30,
P51800001920,Heena Presidency,Neha Developers,Mira Road East,Thane,,,,under_construction,2024-12-30,
P51700009852,RASHMI SWASTIK NAGAR,HEMENDRA PRANJIVAN BOSMIYA,Mira Road East,Thane,,,,under_construction,2022-01-30,
P51700000864,ASHOK SMRUTI DEFG,M/s Keytech,Bhayandar West,Thane,,,,under_construction,2019-12-31,
P51700008077,HATKESH HEIGHTS,S. M. INFRASTRUCTURES,Mira Road East,Thane,,,,under_construction,2020-09-30,
P51700011246,LAABH GLORIA,LAABH BUILDWELL,Bhayandar West,Thane,,,,under_construction,2024-05-29,
P51700003362,SKYLINE-II,UNIQUE SHANTI NEMINATH DEVELOPERS LLP,Mira Road East,Thane,,,,under_construction,2018-09-30,
P51700004954,SKYLINE-II-MHADA,UNIQUE SHANTI NEMINATH DEVELOPERS LLP,Mira Road East,Thane,,,,under_construction,2018-03-31,
P51700001707,Manhattan Phase 1,SAI UMA CONSTRUCTION PRIVATE LIMITED,Bhayandar West,Thane,,,,under_construction,2024-03-31,
P51700002037,RAUNAK DELIGHT,UNNATHI ASSOCIATES,Bhayandar West,Thane,,,,under_construction,2018-12-31,
P51700001560,TARANGAN,MAISON CONSTRUCTIONS PRIVATE LIMITED,Bhayandar West,Thane,,,,under_construction,2018-05-31,
P51700012157,HIRAL SHREE SAMARTH,HIRAL HOMES,Mira Road East,Thane,,,,under_construction,2021-12-30,
P51700001219,RAJ FLORENZA,RAJ REALTORS,Mira Road East,Thane,,,,under_construction,2023-12-30,
P51700005802,SUBODH,NEW HOMES CORPORATION,Bhayandar West,Thane,,,,under_construction,2024-03-14,
P51700006513,PRITHVI SNEH,PRITHVI BUILDWORTH CONSTRUCTIONS,Mira Road East,Thane,,,,under_construction,2026-12-30,
P51700003994,VENKATESH KUMKUM BLDG NO 10,SHREE BALAJI BUILDERS AND DEVELOPERS,Bhayandar East,Thane,,,,under_construction,2032-12-31,
P51700006779,VENKATESH JYOT BLDG NO 5,SHREE BALAJI BUILDERS AND DEVELOPERS,Bhayandar East,Thane,,,,under_construction,2021-12-30,
P51800002185,Annapurna Aquarius,Annapurna Properties,Bhayandar East,Thane,,,,under_construction,2023-12-30,
