rera_certificate_no,builder_name,complaint_count,cases_count,possession_delay_months
P51700000002,UNNATHI ESTATES,0,2,12
P51700001636,A G SUPERSTRUCTURES PVT LTD,0,0,48
P51700000053,GOLDSTAR SANKALP CONSTRUCTION,0,1,12
P51700002491,SONAM BUILDERS,0,0,9
P51700000009,RNA Builders (NG),1,0,0
P51800007505,RDC VENTURES,0,0,18
P51700008448,PRATHAM INFRASTRUCTURE,0,0,0
P51700000586,SALASAR ESTATE DEVELOPERS LLP,0,1,48
P51700000766,UNNATHI ASSOCIATES,0,1,12
P51900010004,khade Infrastructre Pvt. Ltd.,7,0,42
P51700006770,UNIQUE SHANTI DEVELOPERS LLP,0,0,15
P51700002572,SHANTISTAR BUILDERS,0,0,24
P51700000177,SALASAR ESTATE DEVELOPERS LLP,0,1,36
P51700001116,ANNAPURNA REALTORS,0,0,48
P51700001403,VENKATESH CONSTRUCTION,0,1,12
P51700001968,ASHA ENTERPRISES,0,3,78
P51700000549,Haware's Housing Development Finance Corporation Ltd.,0,0,21
P51700000120,Godrej Greenview Housing Private Limited,11,2,24
P51700001515,HAWARE ENGINEERS AND BUILDERS PRIVATE LIMITED,3,1,18
P51700000520,Puranik Tokyo Bay Private Limited,93,5,36
P51700000618,Puranik Tokyo Bay Private Limited,7,3,46
P51700000689,Puranik Builders Limited,2,8,67
P51700002456,SHREE CONSTRUCTIONS,1,4,12
P51700000912,Puranik Builders Limited,5,11,75
P51700006750,Kakad Housing Corporation,4,1,49
P51700000940,M/s. Annapurna Lifespaces LLP,0,0,66
P51700002158,Puranik Builders Limited,1,3,12
P51700010292,Salangpur Gruh Nirman,1,0,18
P51700001132,OM SAI CHARAN BUILDERS,0,0,24
P51700000893,ANNAPURNA CREATORS,0,0,12
P51700002009,UMESH NARESH JAIN,0,2,0
P51700003496,UNIQUE SHANTI DEVELOPERS LLP,0,0,24
P51700000320,RNA Builders (NG),0,0,0
P51700003278,SHANTISTAR BUILDERS,0,0,60
P51700000589,RNA Builders (NG),0,0,24
P51700001153,MACROTECH DEVELOPERS LIMITED,0,0,3
P51700001458,VIHANG ENTERPRISES,0,2,24
P51700002317,AARTI ESTATES,0,1,12
P51700004541,Geeta Developers,0,0,6
P51700001702,D.V.BUILDERS & DEVELOPERS PVT. LTD.,0,0,25
P51700001981,Silver Enterprises,0,0,0
P51700004612,Laabh Samruddhi Enterprises,12,0,48
P51700002994,SAI PREM DEVELOPERS PRIVATE LIMITED,0,0,24
P51700011846,AAKASH BUILDERS & DEVELOPERS,0,0,36
P51700000957,ANNAPURNA ASSOCIATES,0,0,24
P51700005311,Uma Enterprises,0,0,33
P51700001595,Shashwat Developers,0,0,60
P51700008034,SHRADDHA CONSTRUCTIONS,0,0,7
P51700002129,LAXMI ASSOCIATES,0,0,36
P51700009395,SAI KRUPA DEVELOPERS,6,0,48
P51700007887,HEMENDRA PRANJIVAN BOSMIYA,0,0,54
P51700003222,UNIQUE SHANTI DEVELOPERS LLP,1,0,78
P51800000876,ANNAPURNA BUILDCON INFRA PRIVATE LIMITED,0,0,66
P51800001920,Neha Developers,0,1,90
P51700009852,HEMENDRA PRANJIVAN BOSMIYA,0,0,24
P51700000864,M/s Keytech,0,0,12
P51700008077,S. M. INFRASTRUCTURES,12,5,33
P51700011246,LAABH BUILDWELL,2,0,48
P51700003362,UNIQUE SHANTI NEMINATH DEVELOPERS LLP,0,0,9
P51700004954,UNIQUE SHANTI NEMINATH DEVELOPERS LLP,0,0,15
P51700001707,SAI UMA CONSTRUCTION PRIVATE LIMITED,0,7,51
P51700002037,UNNATHI ASSOCIATES,0,1,12
P51700001560,MAISON CONSTRUCTIONS PRIVATE LIMITED,0,2,9
P51700012157,HIRAL HOMES,0,0,42
P51700001219,RAJ REALTORS,0,0,72
P51700005802,NEW HOMES CORPORATION,0,0,51
P51700006513,PRITHVI BUILDWORTH CONSTRUCTIONS,9,1,12
P51700003994,SHREE BALAJI BUILDERS AND DEVELOPERS,0,0,132
P51700006779,SHREE BALAJI BUILDERS AND DEVELOPERS,0,0,24
P51800002185,Annapurna Properties,0,0,24
P51700004905,SHREE OSTWAL BUILDERS LTD,0,3,58
P51700001861,RAJ CORPORATION,0,0,16
P51700001015,Gujarat Land Developers,0,0,12
P51700008381,SHREE OSTWAL BUILDERS LTD,0,2,17
P51700003627,SATGURU LIFESPACES,0,0,45
P51700003503,SHREE PRATHAMESH DEVELOPER,0,0,6
P51800011407,Ravi Developments,4,4,36
P51700008433,SHREE OSTWAL BUILDERS LTD,0,2,17
P51700005942,M/S Ace Constructions,0,0,11
P51700001286,AYUB HUSAIN KHATRI,0,0,0
P51700003472,Ravi Developments,25,2,116
P51700008009,M/S Ace Constructions,0,0,6
P51700002276,Sagar Enterprise,0,0,0
P51700001353,SIDDHIVINAYAK DEVELOPERS,0,0,12
P51700001323,Sagar Enterprise,0,2,0
P51700002089,BHAKTI CORPORATION,0,0,0
P51700006406,SHREE GURUKRUPA VENTURES LLP,0,0,2
P51700001276,JVM ENTERPRISE,0,0,0
P51700004934,SAHIL DEVELOPERS,0,0,81
P51700011396,M/s RAVIRAJ HOUSING (PRINCE CITY),0,0,20
P51700001619,infinity creators,0,0,0
P51700006605,Puranik Tokyo Bay Private Limited,1,1,0
P51700011940,ANNAPURNA BUILDCON INFRA PVT LTD,0,0,0
P51700008730,Rais  Ahmad,0,0,12
P51700006780,SHREE J.P. BUILDERS,0,0,24
P51700002452,PREMIER REALTY,0,0,12
P51700006296,AKSHAR SHANTI REALTORS PRIVATE LIMITED,5,4,66
P51700002976,Narendra Lalchand Mehta,2,0,6
P51700007141,SADGURU BUILDERS,0,0,108
P51700005672,DARVESH PROPERTIES PRIVATE LIMITED,6,0,96
P51700001388,STEELFAB ENGINEERING CORPORATION,27,0,12
P51700007534,Rashmi Housing Private Limited,0,1,12
P51900006575,Sanghvi Premises Pvt. Ltd.,0,0,60
P51700008907,Jangid Properties,0,0,52
P51700007793,GAURAV ENTERPRISES,1,0,12
P51700010943,LAABH REALTORS,0,0,48
P51700004717,R K DEVELOPMENT,0,0,0
P51700004725,SOHAM ESTATES,2,0,24
P51700002231,MAYFAIR MARU DEVELOPERS,13,5,120
P51700007634,RITESH RAMESH JAIN,0,0,12
P51700010843,Salangpur Gruh Nirman,1,0,24
P51700009673,H K Constructions,0,0,53
P51700008280,Swagat Property Developers,0,0,12
P51700008485,SOHAM ESTATES,14,0,23
P51700011018,SALANGPUR REALTY,0,0,1
P51700009055,Aniline Construction Company Private Limited,0,1,6
P51800008105,KASHIMIRA CERAMIC PRODUCTS LLP,49,1,9
P51800008104,KASHIMIRA CERAMIC PRODUCTS LLP,174,1,9
P51900009486,SIDDHIVINAYAK HOMES PVT. LTD.,1,0,12
P51700012201,M/S Shree Balaji Foundation,0,0,24
