rera_certificate_no,builder_name,complaint_count,cases_count,possession_delay_months
P51700000001,MAYFAIR HOUSING PRIVATE LIMITED,0,0,6
P51700002065,MANOJ  AWASTHI,0,0,24
P51700005959,Harshal Ramdas Navghare,0,0,0
P51700002939,K T & CO,0,1,12
P51700000644,AJAY MADHUKAR THANEKAR,1,0,12
P51700000829,MOHAN LIFESPACES LLP,10,0,40
P51700000095,Vijay  Vasudev Wadhwa,3,0,28
P51700000006,METRO DEVELOPMENT,0,3,3
P51700000624,ASHA DEVELOPERS,0,3,103
P51700002027,M/s. Vishwa Green Realtors Private Limited,0,0,12
P51800003594,Kalyani Enterprises,0,0,12
P51700004413,PRIVA INFRACON,0,0,12
P51700004200,Ganadhish GNP,0,0,12
P51700007963,Shelter Construction,0,0,9
P51700000064,RAJ GROUP,0,0,0
P51700005257,JAYESH BUILDCON,3,0,18
P51700001682,EKDANT DEVELOPERS,0,0,21
P51700000258,MACROTECH DEVELOPERS LIMITED,0,1,0
P51700008355,Mirador Construction Pvt Ltd,0,0,0
P51700000327,Swati Enterprises,0,0,2
P51700002467,SHREEJI REALTY,0,0,0
P51700000659,MACROTECH DEVELOPERS LIMITED,0,2,12
P51700011663,SIDDHIVINAYAK GROUP,0,0,6
P51700001654,VISHWAJEET MEADOWS,0,0,12
P51700004837,VIRANI CONSTRUCTION COMPANY,0,0,12
P51700009599,R K BUILDCON,1,0,11
P51700000038,St. Angelo's VNCT Ventures Pvt. Ltd.,0,0,72
P51700000885,Keystone Lifespaces Private Limited,0,0,0
P51700000111,BHARAT REALTY VENTURE PRIVATE LIMITED,13,0,12
P51700000782,Aditi Construction,0,0,7
P51700000734,Sheth Developers Private Limited,3,0,17
P51700010440,SAHYOG GROUP,1,0,0
P51700002757,Akshay Enterprises,0,0,0
P51700011790,ROYALE URBANSPACE LLP,2,0,13
P51700001851,OJASS CONSTRUCTIONS,0,0,12
P51700008568,ASSETS REALITY,22,0,72
P51700000427,ROMA BUILDERS PRIVATE LIMITED,0,4,12
P51700000068,OM NAMAH SHIVAY DEVELOPERS PRIVATE LIMITED,0,0,0
P51700000395,Palava Dwellers Private Limited,2,0,5
P51700000378,Palava Dwellers Private Limited,2,0,0
P51700000125,Palava Dwellers Private Limited,2,0,4
P51700000342,Palava Dwellers Private Limited,3,1,8
P51700008571,ABHAY ANANT KAMAT,0,0,41
P51700000269,Palava Dwellers Private Limited,1,0,4
P51700000389,Palava Dwellers Private Limited,8,0,7
P51700000124,Palava Dwellers Private Limited,2,3,4
P51700000384,Palava Dwellers Private Limited,7,1,5
P51700000391,Palava Dwellers Private Limited,0,0,7
P51700000410,Palava Dwellers Private Limited,2,0,4
P51700000142,Palava Dwellers Private Limited,3,0,4
P51700000390,Palava Dwellers Private Limited,0,0,0
P51700000089,ROMA BUILDERS PRIVATE LIMITED,0,2,24
P51700010238,NAYANTARA ASSOCIATES,0,0,0
P51700000831,COURTYARD REAL ESTATE PRIVATE LIMITED,3,1,24
P51700006760,Parshwa Gruh Nirman LLP,3,0,34
P51700001008,Indiapride Infraspaces,0,0,12
P51700000074,Vijaykumar Baldev Bajaj,0,0,0
P51700000681,COURTYARD REAL ESTATE PRIVATE LIMITED,4,1,24
P51700000611,COURTYARD REAL ESTATE PRIVATE LIMITED,2,1,24
P51700000714,COURTYARD REAL ESTATE PRIVATE LIMITED,3,1,24
P51700000091,ROMA BUILDERS PRIVATE LIMITED,0,2,24
P51700000352,DHANLAXMI DEVELOPERS,0,0,0
P51700001172,SERENE INFRATECH CO,0,0,12
P51700000199,MACROTECH DEVELOPERS LIMITED,10,1,6
P51700002400,TRICITY REALTY LLP,0,0,0
P51700000743,SAHAJANAND DEVELOPERS,0,0,0
P51700002560,ELITE INFRASTRUCTURE,0,0,3
P51700015836,Maa Vaishnavi Builders & Developers,0,0,36
P51700000559,KAMDHENU BUILDERS AND DEVELOPERS,0,0,0
P51700000511,Palava Dwellers Private Limited,0,4,12
P51700000152,ROMA BUILDERS PRIVATE LIMITED,0,2,24
P51700000153,ROMA BUILDERS PRIVATE LIMITED,0,2,24
P51700000129,ROMA BUILDERS PRIVATE LIMITED,1,2,24
P51700000146,ROMA BUILDERS PRIVATE LIMITED,0,2,24
P51700002237,M/s Mahalaxmi Construction Co.,0,1,12
P51700000117,ROMA BUILDERS PRIVATE LIMITED,0,2,24
P51700000139,ROMA BUILDERS PRIVATE LIMITED,0,2,24
P51700005934,SUBURBAN SPACES LLP,0,0,36
P51700010181,DAMJI HARI INFRASTRUCTURE PVT LTD,8,0,72
P51700003667,DEV KONARK CORPORATION,0,0,6
